unix_s,memory_current,memory_peak,process_count,rss_total_kib,codex_rss_kib,anon,file,kernel,kernel_stack,pagetables,sock,slab,slab_reclaimable,slab_unreclaimable
1786202680.178212,683552768,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
1786202680.429249,683552768,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
1786202680.680271,683552768,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
1786202680.931398,683552768,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
1786202681.183015,683552768,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
1786202681.434293,683552768,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
1786202681.685414,683552768,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
1786202681.936239,683552768,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
1786202682.187048,683491328,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
1786202682.437949,683491328,2188410880,3,125696,111168,43757568,620466176,11370496,884736,1777664,12288,8492920,7592808,900112
